slug,date,open,high,low,close,currency
EUR/JPY,2017-08-23,129.074005,129.119003,128.492004,129.070999,JPY
EUR/USD,2017-08-23,1.176083,1.181865,1.174357,1.176221,USD
EUR/GBP,2017-08-23,0.91703,0.92358,0.91608,0.91719,GBP
EUR/USD,2017-08-24,1.181642,1.181893,1.178523,1.181656,USD
EUR/GBP,2017-08-24,0.92289,0.92335,0.91902,0.92291,GBP
EUR/JPY,2017-08-24,128.699005,129.171005,128.699005,128.694,JPY
EUR/GBP,2017-08-25,0.92167,0.92293,0.91958,0.92154,GBP
EUR/USD,2017-08-25,1.17983,1.188425,1.177482,1.18022,USD
EUR/JPY,2017-08-25,129.181,129.753006,129.108002,129.179993,JPY
EUR/GBP,2017-08-28,0.92601,0.92675,0.923,0.92607,GBP
EUR/USD,2017-08-28,1.195143,1.197605,1.191782,1.195186,USD
EUR/JPY,2017-08-28,130.699997,130.778,130.005997,130.679001,JPY
EUR/USD,2017-08-29,1.196516,1.206695,1.196301,1.196387,USD
EUR/GBP,2017-08-29,0.9255,0.9306,0.9247,0.92541,GBP
EUR/JPY,2017-08-29,130.085999,131.123993,130.003998,130.085007,JPY
EUR/GBP,2017-08-30,0.92624,0.9269,0.92158,0.92626,GBP
EUR/USD,2017-08-30,1.197031,1.19861,1.189669,1.197046,USD
EUR/JPY,2017-08-30,131.386993,131.682999,131.130005,131.401001,JPY
EUR/JPY,2017-08-31,131.354004,131.565002,130.720001,131.309998,JPY
EUR/GBP,2017-08-31,0.92034,0.92368,0.91859,0.9201,GBP
EUR/USD,2017-08-31,1.189004,1.190816,1.182438,1.189343,USD
EUR/JPY,2017-09-01,131.149002,131.332001,130.682999,131.160995,JPY
EUR/GBP,2017-09-01,0.92039,0.92197,0.91514,0.9203,GBP
EUR/USD,2017-09-01,1.191086,1.197863,1.185115,1.191043,USD
EUR/JPY,2017-09-04,130.436005,130.694,130.117996,130.459,JPY
EUR/USD,2017-09-04,1.188255,1.192321,1.187945,1.188284,USD
EUR/GBP,2017-09-04,0.91642,0.92162,0.91628,0.91644,GBP
EUR/USD,2017-09-05,1.189443,1.193816,1.187042,1.189343,USD
EUR/JPY,2017-09-05,130.567993,130.570007,129.662994,130.598999,JPY
EUR/GBP,2017-09-05,0.9202,0.92125,0.91424,0.9202,GBP
EUR/USD,2017-09-06,1.192364,1.194929,1.190377,1.192407,USD
EUR/JPY,2017-09-06,129.483994,130.078003,129.350006,129.490005,JPY
EUR/GBP,2017-09-06,0.91425,0.91633,0.91292,0.9143,GBP
EUR/USD,2017-09-07,1.192748,1.205691,1.191568,1.192777,USD
EUR/JPY,2017-09-07,130.182999,131.061005,129.959,130.149994,JPY
EUR/GBP,2017-09-07,0.91412,0.92009,0.9135,0.9141,GBP
EUR/JPY,2017-09-08,130.261993,130.636002,129.466003,130.227997,JPY
EUR/USD,2017-09-08,1.202863,1.209336,1.201894,1.202906,USD
EUR/GBP,2017-09-08,0.9179,0.92016,0.91118,0.91787,GBP
EUR/JPY,2017-09-11,130.100998,130.565002,130.046005,130.059006,JPY
EUR/USD,2017-09-11,1.201533,1.202935,1.196244,1.201764,USD
EUR/GBP,2017-09-11,0.91055,0.91215,0.90753,0.91058,GBP
EUR/USD,2017-09-12,1.195858,1.197748,1.192748,1.195943,USD
EUR/JPY,2017-09-12,130.843002,131.707001,130.669998,130.826996,JPY
EUR/GBP,2017-09-12,0.90801,0.9082,0.89856,0.90805,GBP
EUR/USD,2017-09-13,1.19716,1.1996,1.188566,1.197461,USD
EUR/GBP,2017-09-13,0.9008,0.90379,0.89834,0.90079,GBP
EUR/JPY,2017-09-13,131.929993,131.983994,131.513,131.955002,JPY
EUR/USD,2017-09-14,1.189047,1.191001,1.184567,1.189061,USD
EUR/GBP,2017-09-14,0.90015,0.90229,0.88699,0.90005,GBP
EUR/JPY,2017-09-14,131.354004,131.681,131.136002,131.369995,JPY
EUR/GBP,2017-09-15,0.88985,0.88997,0.87756,0.88968,GBP
EUR/JPY,2017-09-15,131.048004,133.076004,131.048004,131.031998,JPY
EUR/USD,2017-09-15,1.192279,1.198552,1.190235,1.192165,USD
EUR/JPY,2017-09-18,132.679001,133.404007,132.641006,132.723007,JPY
EUR/USD,2017-09-18,1.193745,1.196888,1.191682,1.193716,USD
EUR/GBP,2017-09-18,0.87909,0.88542,0.8779,0.87929,GBP
EUR/GBP,2017-09-19,0.8848,0.88977,0.8842,0.8848,GBP
EUR/JPY,2017-09-19,133.330002,134.132996,133.276001,133.332993,JPY
EUR/USD,2017-09-19,1.196172,1.200538,1.196001,1.195929,USD
EUR/USD,2017-09-20,1.199285,1.201923,1.198667,1.199256,USD
EUR/GBP,2017-09-20,0.8873,0.8888,0.883,0.88734,GBP
EUR/JPY,2017-09-20,133.800995,134.014008,133.5,133.815002,JPY
EUR/GBP,2017-09-21,0.88019,0.88332,0.87974,0.87994,GBP
EUR/USD,2017-09-21,1.187296,1.195357,1.18662,1.187211,USD
EUR/JPY,2017-09-21,133.653,134.238998,133.511002,133.576004,JPY
EUR/JPY,2017-09-22,134.309998,134.391998,133.514999,134.322998,JPY
EUR/USD,2017-09-22,1.194486,1.20025,1.194058,1.194558,USD
EUR/GBP,2017-09-22,0.87959,0.88732,0.8794,0.87961,GBP
EUR/GBP,2017-09-25,0.8829,0.88305,0.87754,0.88298,GBP
EUR/USD,2017-09-25,1.192677,1.193887,1.185185,1.19272,USD
EUR/JPY,2017-09-25,134.104996,134.225998,132.255005,134.102997,JPY
EUR/JPY,2017-09-26,132.481003,132.481003,131.748993,132.492996,JPY
EUR/GBP,2017-09-26,0.8797,0.87993,0.87553,0.87959,GBP
EUR/USD,2017-09-26,1.185565,1.18638,1.176526,1.185565,USD
EUR/JPY,2017-09-27,132.455002,132.718994,132.098999,132.442993,JPY
EUR/USD,2017-09-27,1.178134,1.179523,1.171921,1.178606,USD
EUR/GBP,2017-09-27,0.87645,0.87949,0.87469,0.87662,GBP
EUR/JPY,2017-09-28,132.602997,132.867996,132.332001,132.602005,JPY
EUR/USD,2017-09-28,1.175047,1.180275,1.172196,1.174964,USD
EUR/GBP,2017-09-28,0.87695,0.88084,0.8759,0.87686,GBP
EUR/JPY,2017-09-29,132.539001,133.098007,132.511993,132.496994,JPY
EUR/USD,2017-09-29,1.178064,1.183194,1.177329,1.178175,USD
EUR/GBP,2017-09-29,0.87718,0.88402,0.87645,0.8772,GBP
EUR/JPY,2017-10-02,133.044006,133.044006,132.240005,132.979996,JPY
EUR/GBP,2017-10-02,0.88152,0.88679,0.87645,0.8817,GBP
EUR/USD,2017-10-02,1.180763,1.180763,1.173117,1.180735,USD
