slug,date,open,high,low,close,currency,paypal_rate,paypal_final_cost,paypal_markup,wise_rate,wise_final_cost,wise_markup,revolut_markup_pct,revolut_rate,revolut_final_cost,revolut_markup,year,month,day_of_week,day_name,quarter,season
EUR/GBP,2015-11-26,0.70239,0.70432,0.7018,0.7025,GBP,0.7235750000000001,724.972975,0.021075000000000066,0.7025,706.0125,0.0,0.0,0.7025,702.5,0.0,2015,11,3,Thursday,4,Autumn
EUR/JPY,2015-11-26,130.320007,130.345001,129.899994,130.320999,JPY,134.23062897,134489.96775801,3.9096299699999975,130.320999,130972.603995,0.0,0.0,130.320999,130320.999,0.0,2015,11,3,Thursday,4,Autumn
EUR/USD,2015-11-27,1.060445,1.0638,1.057,1.060445,USD,1.09225835,1094.3686355500001,0.03181334999999996,1.060445,1065.747225,0.0,0.0,1.060445,1060.4450000000002,0.0,2015,11,4,Friday,4,Autumn
EUR/GBP,2015-11-27,0.70231,0.70488,0.7017,0.70227,GBP,0.7233381,724.7356173,0.021068100000000034,0.70227,705.78135,0.0,0.0,0.70227,702.27,0.0,2015,11,4,Friday,4,Autumn
EUR/JPY,2015-11-27,130.072006,130.141006,129.667999,130.029999,JPY,133.93089897000002,134189.65866801,3.9008999700000118,130.029999,130680.14899500001,0.0,0.0,130.029999,130029.99900000001,0.0,2015,11,4,Friday,4,Autumn
EUR/JPY,2015-11-30,129.994003,130.276001,129.813004,129.960007,JPY,133.85880720999998,134117.42762392998,3.8988002099999903,129.960007,130609.80703499998,0.0,0.0,129.960007,129960.00699999998,0.0,2015,11,0,Monday,4,Autumn
EUR/USD,2015-11-30,1.058302,1.059704,1.0564,1.058302,USD,1.0900510600000002,1092.1570809800003,0.03174906000000011,1.058302,1063.5935100000002,0.0,0.0,1.058302,1058.3020000000001,0.0,2015,11,0,Monday,4,Autumn
EUR/GBP,2015-11-30,0.70372,0.70507,0.70161,0.7037,GBP,0.724811,726.211363,0.02111099999999999,0.7037,707.2185000000001,0.0,0.0,0.7037,703.7,0.0,2015,11,0,Monday,4,Autumn
EUR/USD,2015-12-01,1.057295,1.064,1.056602,1.057295,USD,1.0890138500000002,1091.1178670500003,0.031718850000000076,1.057295,1062.5814750000002,0.0,0.0,1.057295,1057.295,0.0,2015,12,1,Tuesday,4,Winter
EUR/GBP,2015-12-01,0.70198,0.7048,0.70059,0.7019,GBP,0.722957,724.353781,0.021056999999999992,0.7019,705.4095,0.0,0.0,0.7019,701.9,0.0,2015,12,1,Tuesday,4,Winter
EUR/JPY,2015-12-01,130.223999,130.772003,129.772003,130.220001,JPY,134.12660103,134385.73883199,3.906600029999993,130.220001,130871.10100499999,0.0,0.0,130.220001,130220.00099999999,0.0,2015,12,1,Tuesday,4,Winter
EUR/USD,2015-12-02,1.062699,1.064,1.056201,1.062586,USD,1.09446358,1096.57812614,0.03187757999999996,1.062586,1067.89893,0.0,0.0,1.062586,1062.586,0.0,2015,12,2,Wednesday,4,Winter
EUR/GBP,2015-12-02,0.7047,0.70724,0.703,0.70472,GBP,0.7258616,727.2639928,0.021141599999999983,0.70472,708.2436,0.0,0.0,0.70472,704.72,0.0,2015,12,2,Wednesday,4,Winter
EUR/JPY,2015-12-02,130.608002,130.919998,130.317993,130.600006,JPY,134.51800618000001,134777.90019194002,3.918000180000007,130.600006,131253.00603000002,0.0,0.0,130.600006,130600.00600000001,0.0,2015,12,2,Wednesday,4,Winter
EUR/JPY,2015-12-03,130.75,133.834,130.160004,130.75,JPY,134.6725,134932.6925,3.9225000000000136,130.75,131403.75,0.0,0.0,130.75,130750.0,0.0,2015,12,3,Thursday,4,Winter
EUR/USD,2015-12-03,1.061199,1.0892,1.0542,1.061301,USD,1.09314003,1095.2520189900001,0.03183902999999999,1.061301,1066.6075050000002,0.0,0.0,1.061301,1061.3010000000002,0.0,2015,12,3,Thursday,4,Winter
EUR/GBP,2015-12-03,0.70982,0.7235,0.70569,0.70982,GBP,0.7311146000000001,732.5271418000001,0.021294600000000052,0.70982,713.3691,0.0,0.0,0.70982,709.82,0.0,2015,12,3,Thursday,4,Winter
EUR/GBP,2015-12-04,0.72139,0.72354,0.71789,0.72131,GBP,0.7429493,744.3847069,0.021639300000000028,0.72131,724.91655,0.0,0.0,0.72131,721.3100000000001,0.0,2015,12,4,Friday,4,Winter
EUR/JPY,2015-12-04,133.897995,134.528,133.350998,133.884003,JPY,137.90052309,138166.95225597,4.01652009,133.884003,134553.423015,0.0,0.0,133.884003,133884.003,0.0,2015,12,4,Friday,4,Winter
EUR/USD,2015-12-04,1.091834,1.095194,1.0858,1.091596,USD,1.12434388,1126.5161560400002,0.03274788000000006,1.091596,1097.05398,0.0,0.0,1.091596,1091.596,0.0,2015,12,4,Friday,4,Winter
EUR/GBP,2015-12-07,0.72,0.72011,0.7164,0.7201,GBP,0.741703,743.135999,0.02160300000000004,0.7201,723.7004999999999,0.0,0.0,0.7201,720.0999999999999,0.0,2015,12,0,Monday,4,Winter
EUR/USD,2015-12-07,1.088305,1.088305,1.0798,1.0884,USD,1.1210520000000002,1123.217916,0.032652000000000125,1.0884,1093.842,0.0,0.0,1.0884,1088.4,0.0,2015,12,0,Monday,4,Winter
EUR/JPY,2015-12-07,134.048996,134.048996,133.279999,134.039993,JPY,138.06119279,138327.93237607,4.021199789999997,134.039993,134710.19296500002,0.0,0.0,134.039993,134039.99300000002,0.0,2015,12,0,Monday,4,Winter
EUR/GBP,2015-12-08,0.7198,0.72772,0.7196,0.7198,GBP,0.741394,742.826402,0.021594000000000002,0.7198,723.399,0.0,0.0,0.7198,719.8,0.0,2015,12,1,Tuesday,4,Winter
EUR/JPY,2015-12-08,133.572006,133.858002,133.470001,133.565994,JPY,137.57297382,137838.77014806,4.006979819999998,133.565994,134233.82396999997,0.0,0.0,133.565994,133565.99399999998,0.0,2015,12,1,Tuesday,4,Winter
EUR/USD,2015-12-08,1.0836,1.09,1.083142,1.0834,USD,1.115902,1118.057966,0.03250200000000003,1.0834,1088.8169999999998,0.0,0.0,1.0834,1083.3999999999999,0.0,2015,12,1,Tuesday,4,Winter
EUR/JPY,2015-12-09,133.889999,134.214996,133.759995,133.878998,JPY,137.89536794,138161.78714601998,4.016369940000004,133.878998,134548.39299,0.0,0.0,133.878998,133878.998,0.0,2015,12,2,Wednesday,4,Winter
EUR/USD,2015-12-09,1.089503,1.099,1.088198,1.089396,USD,1.12207788,1124.24577804,0.03268187999999994,1.089396,1094.84298,0.0,0.0,1.089396,1089.396,0.0,2015,12,2,Wednesday,4,Winter
EUR/GBP,2015-12-09,0.72568,0.72733,0.72215,0.72573,GBP,0.7475019,748.9461027000001,0.021771900000000066,0.72573,729.35865,0.0,0.0,0.72573,725.73,0.0,2015,12,2,Wednesday,4,Winter
EUR/JPY,2015-12-10,134.037994,134.050995,132.779007,134.029999,JPY,138.05089897000002,138317.61866801002,4.020899970000016,134.029999,134700.14899500003,0.0,0.0,134.029999,134029.999,0.0,2015,12,3,Thursday,4,Winter
EUR/USD,2015-12-10,1.101698,1.102305,1.092799,1.101795,USD,1.13484885,1137.0414220500002,0.03305384999999994,1.101795,1107.303975,0.0,0.0,1.101795,1101.795,0.0,2015,12,3,Thursday,4,Winter
EUR/GBP,2015-12-10,0.72563,0.72577,0.7205,0.7254,GBP,0.7471620000000001,748.6055460000001,0.02176200000000006,0.7254,729.027,0.0,0.0,0.7254,725.4000000000001,0.0,2015,12,3,Thursday,4,Winter
EUR/JPY,2015-12-11,133.220001,133.770004,132.867004,133.238007,JPY,137.23514721,137500.29084393,3.9971402099999978,133.238007,133904.19703500002,0.0,0.0,133.238007,133238.007,0.0,2015,12,4,Friday,4,Winter
